timestamp	equity	avail_balance	cash
2018-11-19T03:45:01.874Z	10.524	10.781	1691.89086
2018-11-19T04:00:01.877Z	10.521	10.781	1691.67159
2018-11-19T04:15:01.901Z	10.571	10.781	1695.831533
2018-11-19T04:30:01.922Z	10.575	10.781	1696.1454
2018-11-19T04:45:01.950Z	10.659	10.781	1703.041725
2018-11-19T05:00:01.967Z	10.665	10.781	1703.56311
2018-11-19T05:15:02.022Z	10.897	10.781	1722.92467
2018-11-19T05:30:01.969Z	10.927	10.781	1724.761388
2018-11-19T05:45:02.046Z	10.96	10.781	1728.392
2018-11-19T06:00:02.058Z	11.484	10.781	1768.260384
2018-11-19T06:15:02.046Z	11.564	10.781	1774.368596
2018-11-19T06:30:02.159Z	11.889	10.781	1798.627365
2018-11-19T06:45:02.243Z	11.752	10.781	1788.47812
2018-11-19T07:00:02.160Z	11.687	10.781	1783.599818
2018-11-19T07:15:02.166Z	11.779	10.781	1790.478674
2018-11-19T07:30:02.173Z	11.874	10.781	1797.474246
2018-11-19T07:45:02.208Z	11.719	10.781	1785.9756
2018-11-19T08:00:02.257Z	11.772	10.781	1789.9326
2018-11-19T08:15:02.280Z	12.599	10.781	1849.28122
2018-11-19T08:30:02.265Z	13.436	10.781	1905.2248
2018-11-19T08:45:02.341Z	12.795	10.781	1862.6961
2018-11-19T09:00:01.334Z	12.792	10.781	1862.502408
2018-11-19T09:15:01.391Z	12.92814214	10.78091307	1871.73641903
2018-11-19T09:30:01.349Z	12.99360608	10.78091307	1876.13378829
2018-11-19T09:45:01.566Z	13.21981785	10.78091307	1891.14782271
2018-11-19T10:00:01.464Z	13.19128942	10.78091307	1889.26966202
2018-11-19T10:15:01.485Z	12.61467418	10.78091307	1850.34563807
2018-11-19T10:30:01.457Z	12.5578743	10.78091307	1845.36707051
2018-11-19T10:45:01.481Z	12.44700653	10.78091307	1838.67180461
2018-11-19T11:00:01.489Z	12.42809509	10.78091307	1837.34472192
2018-11-19T11:15:01.523Z	12.59793066	10.78091307	1849.18725193
2018-11-19T11:30:01.546Z	12.59468221	10.78091307	1848.96232184
2018-11-19T11:45:01.545Z	12.76181868	10.78091307	1860.45621263
2018-11-19T12:00:01.592Z	12.76000728	10.78091307	1860.33250138
2018-11-19T12:15:01.678Z	12.72383661	10.78091307	1857.85827877
